Timestamp,CIB Heating CT Circuit Flow Temp,CIB Heating CT Circuit LTHW CT Low Temp Alarm,CIB Heating CT Circuit Pumps CT-01 Enable,CIB Heating CT Circuit Pumps CT-01 Fault,CIB Heating CT Circuit Pumps CT-02 Enable,CIB Heating CT Circuit Pumps CT-02 Fault,CIB Heating CT Circuit Pumps DPS,CIB Heating CT Circuit Return Temp,CIB Heating CT Circuit Time Schedule
2025-01-01T00:00:00Z London,48.971068700154625,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,47.98383458455404,AAAB
2025-01-01T01:00:00Z London,48.878516832987465,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,47.88687292734782,AAAB
2025-01-01T02:00:00Z London,48.90275446573893,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,47.994852701822914,AAAB
2025-01-01T03:00:00Z London,48.77935282389323,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,47.81855901082357,AAAB
2025-01-01T04:00:00Z London,48.61848576863607,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,47.798726399739586,AAAB
2025-01-01T05:00:00Z London,48.792572021484375,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,47.78329944610596,AAAB
2025-01-01T06:00:00Z London,48.83664480845133,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,47.78330008188883,AAAB
2025-01-01T07:00:00Z London,48.93801307678223,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,47.72159767150879,AAAB
2025-01-01T08:00:00Z London,48.682390213012695,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,47.58938026428223,AAAB
2025-01-01T09:00:00Z London,48.56779861450195,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,47.351383209228516,AAAB
2025-01-01T10:00:00Z London,48.63831774393717,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,47.45495573679606,AAAB
2025-01-01T11:00:00Z London,48.77494525909424,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,47.5959898630778,AAAB
2025-01-01T12:00:00Z London,49.39835262298584,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,48.29789892832438,AAAB
2025-01-01T13:00:00Z London,53.06407674153646,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,51.16130574544271,AAAB
2025-01-01T14:00:00Z London,54.619031270345054,AAABAjAA,AAAB,AAAA,AAAA,AAAA,AAAB,52.83901723225912,AAAB
2025-01-01T15:00:00Z London,54.92593129475912,AAAAATAB,AAAB,AAAA,AAAA,AAAA,AAAB,51.93878173828125,AAAB
2025-01-01T16:00:00Z London,54.360728899637856,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,53.176608085632324,AAAB
2025-01-01T17:00:00Z London,54.805731455485024,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,52.57303841908773,AAAB
2025-01-01T18:00:00Z London,53.64207331339518,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,51.79300498962402,AAAB
2025-01-01T19:00:00Z London,54.33771006266276,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,52.041083017985024,AAAB
2025-01-01T20:00:00Z London,53.92339515686035,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,52.31217575073242,AAAB
2025-01-01T21:00:00Z London,53.65230178833008,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,52.39401499430338,AAAB
2025-01-01T22:00:00Z London,54.40676307678223,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,53.18683687845866,AAAB
2025-01-01T23:00:00Z London,54.99498462677002,AAABAqAA,AAAB,AAAA,AAAA,AAAA,AAAB,53.68299070994059,AAAB
2025-01-02T00:00:00Z London,55.56274890899658,AAAA,AAAB,AAAA,AAAA,AAAA,AAAB,53.65997282663981,AAAB
2025-01-02T01:00:00Z London,55.946373303731285,AAAA,AAAB,AAAA,AAAA,AAAA,AAAB,53.80575052897135,AAAB
2025-01-02T02:00:00Z London,55.94892883300781,AAAA,AAAB,AAAA,AAAA,AAAA,AAAB,53.99500401814779,AAAB
2025-01-02T03:00:00Z London,56.470658938090004,AAAA,AAAB,AAAA,AAAA,AAAA,AAAB,54.06149864196777,AAAB
2025-01-02T04:00:00Z London,55.90801111857096,AAAA,AAAB,AAAA,AAAA,AAAA,AAAB,54.5576540629069,AAAB
2025-01-02T05:00:00Z London,56.70594787597656,AAAA,AAAB,AAAA,AAAA,AAAA,AAAB,55.6215705871582,AAAB
2025-01-02T06:00:00Z London,57.74940490722656,AAAA,AAAB,AAAA,AAAA,AAAA,AAAB,55.601113637288414,AAAB
2025-01-02T07:00:00Z London,58.268576304117836,AAAA,AAAB,AAAA,AAAA,AAAA,AAAB,55.02567768096924,AAAB
2025-01-02T08:00:00Z London,56.11772664388021,AAAAA1AB,AAAB,AAAA,AAAA,AAAA,AAAB,52.75717957814535,AAAB
2025-01-02T09:00:00Z London,54.5985746383667,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,52.11013380686442,AAAB
2025-01-02T10:00:00Z London,53.64974498748779,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,51.4272829691569,AAAB
2025-01-02T11:00:00Z London,53.278907775878906,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,50.73314094543457,AAAB
2025-01-02T12:00:00Z London,53.36586316426595,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,51.35105832417806,AAAB
2025-01-02T13:00:00Z London,53.35563087463379,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,50.8363094329834,AAAB
2025-01-02T14:00:00Z London,53.63951460520426,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,51.4958766301473,AAAB
2025-01-02T15:00:00Z London,53.851786613464355,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,51.163862546284996,AAAB
2025-01-02T16:00:00Z London,54.002678871154785,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,51.75208314259847,AAAB
