Timestamp,CIB CT Circuit Heat Meter Energy,CIB CT Circuit Heat Meter Flow,CIB CT Circuit Heat Meter Inlet Temp,CIB CT Circuit Heat Meter Outlet Temp,CIB CT Circuit Heat Meter Power
2025-12-13T00:00:00Z London,400,153.58333206176758,56.11416753133138,53.990000089009605,390
2025-12-13T01:00:00Z London,400,152.83333333333334,56.2524995803833,54.135000228881836,380
2025-12-13T02:00:00Z London,400,154.59166717529297,56.5716667175293,54.34166749318441,390
2025-12-13T03:00:00Z London,400,153.28333028157553,57.15083376566569,54.84833335876465,410
2025-12-13T04:00:00Z London,400,153.67499923706055,57.50250053405762,55.16833368937174,420
2025-12-13T05:00:00Z London,400,153.56666564941406,57.84000015258789,55.47333272298177,420
2025-12-13T06:00:00Z London,400,153.96666717529297,57.972500801086426,55.5849994023641,420
2025-12-13T07:00:00Z London,400,155.09999974568686,57.47166728973389,55.14833323160807,460
2025-12-13T08:00:00Z London,500,154.45833587646484,57.144999504089355,54.72999986012777,440
2025-12-13T09:00:00Z London,400,156.95000076293945,56.88083299001058,54.540833155314125,480
2025-12-13T10:00:00Z London,400,154.66666412353516,56.335832595825195,54.15833346048991,390
2025-12-13T11:00:00Z London,300,152.85833358764648,55.62916692097982,53.59250005086263,380
2025-12-13T12:00:00Z London,300,152.35833231608072,54.9433339436849,53.05499998728434,350
2025-12-13T13:00:00Z London,400,153.73333358764648,54.580000241597496,52.79583295186361,350
2025-12-13T14:00:00Z London,300,150.8249994913737,54.22333240509033,52.40999984741211,320
2025-12-13T15:00:00Z London,300,152.875,54.40000025431315,52.46916707356771,370
2025-12-13T16:00:00Z London,400,154.06666692097983,54.62500031789144,52.64833386739095,360
2025-12-13T17:00:00Z London,300,154.31666692097983,55.663333574930824,53.50500043233236,400
2025-12-13T18:00:00Z London,400,153.15833536783853,56.54333305358887,54.394999504089355,390
2025-12-13T19:00:00Z London,400,153.49166615804037,56.92333475748698,54.71416727701823,400
2025-12-13T20:00:00Z London,400,154.80833307902017,57.21500015258789,55.041666984558105,400
2025-12-13T21:00:00Z London,400,155.54999923706055,57.428332010904946,55.17333221435547,420
2025-12-13T22:00:00Z London,400,152.95833460489908,57.65916601816813,55.39916674296061,410
2025-12-13T23:00:00Z London,400,152.39166641235352,57.79666805267334,55.5083335240682,420
