Timestamp,CIB CT Circuit Heat Meter Energy,CIB CT Circuit Heat Meter Flow,CIB CT Circuit Heat Meter Inlet Temp,CIB CT Circuit Heat Meter Outlet Temp,CIB CT Circuit Heat Meter Power,CIB Heating CT Circuit Flow Temp,CIB Heating CT Circuit Return Temp
2026-01-01T00:00:00Z London,100,2.6333333452542624,65.5633316040039,39.59999942779541,80,62.68675740559896,38.86112403869629
2026-01-01T01:00:00Z London,100,2.5583333174387612,65.02000045776367,39.73750019073486,80,62.07299931844076,38.753335316975914
2026-01-01T02:00:00Z London,100,2.64166667064031,66.10250091552734,39.72500133514404,90,62.25775305430094,38.33235772450765
2026-01-01T03:00:00Z London,0,2.7416666746139526,65.75083351135254,39.589999516805015,110,62.069865226745605,38.70859591166178
2026-01-01T04:00:00Z London,100,2.5,65.6691665649414,39.54416720072428,80,61.99784437815348,39.17227840423584
2026-01-01T05:00:00Z London,100,2.650000015894572,65.62583351135254,39.618334452311196,90,62.09491729736328,39.139739990234375
2026-01-01T06:00:00Z London,100,2.4583333333333335,64.94583320617676,39.62833309173584,80,62.17320315043131,38.962809244791664
2026-01-01T07:00:00Z London,0,2.5916666785875955,65.72249984741211,39.51166788736979,80,62.47068945566813,38.40150388081869
2026-01-01T08:00:00Z London,100,2.466666668653488,65.51333173116048,39.504167238871254,80,61.92582257588705,38.86315663655599
2026-01-01T09:00:00Z London,100,2.6583333214124045,65.74416605631511,39.5049991607666,100,61.97279167175293,39.052292823791504
2026-01-01T10:00:00Z London,100,2.475000003973643,65.17666753133138,39.584166844685875,80,61.828746477762856,39.06042798360189
2026-01-01T11:00:00Z London,0,2.5166666507720947,64.7458324432373,39.381666819254555,70,61.15549278259277,38.676056226094566
2026-01-01T12:00:00Z London,100,2.3916667103767395,63.51000054677328,39.247499783833824,70,60.52607727050781,38.79808044433594
2026-01-01T13:00:00Z London,100,2.458333363135656,62.762499491373696,38.80249945322672,70,59.18963495890299,38.10865147908529
2026-01-01T14:00:00Z London,0,2.4000000059604645,62.6225004196167,38.41749986012777,90,59.62148920694987,37.8707062403361
2026-01-01T15:00:00Z London,100,2.4416666825612388,62.90583356221517,38.454166094462074,80,59.64450867970785,38.03543567657471
2026-01-01T16:00:00Z London,100,2.3416666289170585,63.02083396911621,38.77166716257731,90,59.44758001963297,37.76901944478353
2026-01-01T17:00:00Z London,0,2.3166666626930237,63.06583309173584,38.52416674296061,70,59.42200533548991,38.185930252075195
2026-01-01T18:00:00Z London,100,2.36666668454806,63.195000648498535,38.61916700998942,70,59.268555323282875,37.88290659586588
2026-01-01T19:00:00Z London,100,2.375000019868215,63.24416573842367,38.78416665395101,70,59.84910615285238,38.30998865763346
2026-01-01T20:00:00Z London,0,2.274999996026357,63.94916661580404,38.780832608540855,70,60.530145009358726,38.080178578694664
2026-01-01T21:00:00Z London,100,2.200000007947286,64.17833201090495,39.07833290100098,70,60.604363123575844,38.21440315246582
2026-01-01T22:00:00Z London,100,2.3833333253860474,64.2575003306071,39.165833473205566,70,60.60123062133789,38.828582763671875
2026-01-01T23:00:00Z London,100,2.291666636864344,64.75500106811523,39.19666703542074,70,61.16175619761149,38.65165106455485
2026-01-02T00:00:00Z London,0,2.4666666388511658,64.71333281199138,39.60083293914795,80,61.3966121673584,38.405571619669594
2026-01-02T01:00:00Z London,100,2.4416666626930237,65.27083269755046,39.514166831970215,80,61.67530822753906,39.07262674967448
2026-01-02T02:00:00Z London,100,2.3416666785875955,65.37833340962727,39.49916648864746,80,61.75985558827718,39.117371241251625
2026-01-02T03:00:00Z London,0,2.491666634877523,64.93583170572917,39.50500011444092,80,61.19619878133138,38.82044919331869
2026-01-02T04:00:00Z London,100,2.4666666785875955,65.17499987284343,39.612500508626304,80,60.89245287577311,38.7004591623942
2026-01-02T05:00:00Z London,100,2.483333299557368,65.4341672261556,39.46500015258789,90,61.55944633483887,39.02381896972656
2026-01-02T06:00:00Z London,100,2.4916666547457376,65.58499908447266,39.42583306630453,80,61.95087210337321,39.02992216746012
2026-01-02T07:00:00Z London,0,2.616666634877523,65.27666664123535,39.30083338419596,100,61.62207349141439,38.60487683614095
2026-01-02T08:00:00Z London,100,2.408333351214727,65.06333414713542,39.28249899546305,80,61.944610277811684,38.25507640838623
2026-01-02T09:00:00Z London,100,2.4583333333333335,65.26666577657063,39.402500788370766,80,61.52186965942383,38.828582763671875
2026-01-02T10:00:00Z London,100,2.474999984105428,64.87249978383382,39.418332735697426,90,61.672176361083984,38.90179761250814
2026-01-02T11:00:00Z London,0,2.3666666547457376,65.31499989827473,39.37333297729492,80,61.578233083089195,38.913997650146484
2026-01-02T12:00:00Z London,100,2.4249999721844993,64.40166600545247,39.1366662979126,80,61.73793570200602,38.131020863850914
2026-01-02T13:00:00Z London,100,2.299999992052714,64.81833330790202,39.423333485921226,70,61.177412033081055,38.873324394226074
2026-01-02T14:00:00Z London,0,2.325000007947286,64.95500055948894,39.12333329518636,90,61.28074804941813,38.79807758331299
2026-01-02T15:00:00Z London,100,2.4083333214124045,65.50833320617676,39.31749979654948,80,61.64712651570638,38.16559282938639
2026-01-02T16:00:00Z London,100,2.4416666428248086,65.22666613260905,39.08750025431315,80,61.29640579223633,38.724863052368164
2026-01-02T17:00:00Z London,0,2.283333331346512,65.41416676839192,39.34250005086263,80,61.68470255533854,38.87739245096842
2026-01-02T18:00:00Z London,100,2.575000007947286,65.48000017801921,39.1883331934611,100,61.7911704381307,38.547932624816895
2026-01-02T19:00:00Z London,100,2.4333333174387612,65.26333300272624,39.346666971842446,80,62.066734313964844,38.23677317301432
2026-01-02T20:00:00Z London,100,2.208333303531011,65.90749804178874,39.38416576385498,70,62.072997093200684,38.897731145222984
2026-01-02T21:00:00Z London,0,2.3916666507720947,65.53166643778484,39.39166673024496,80,61.496816635131836,38.91806825002035
2026-01-02T22:00:00Z London,100,2.3499999940395355,65.38916714986165,39.38666661580404,80,62.110574086507164,38.77570724487305
2026-01-02T23:00:00Z London,100,2.591666658719381,65.68916702270508,39.447499910990395,90,62.04794788360596,38.64554786682129
2026-01-03T00:00:00Z London,0,2.358333339293798,65.67916615804036,39.360833168029785,80,61.92268816630045,38.23067156473795
2026-01-03T01:00:00Z London,100,2.2666666507720947,65.9008337656657,39.37750053405762,80,62.035420417785645,38.13712247212728
2026-01-03T02:00:00Z London,100,2.2083333333333335,65.79416720072429,39.45250002543131,70,61.72541046142578,38.73503335316976
2026-01-03T03:00:00Z London,0,2.3416666984558105,65.27999877929688,39.47999986012777,90,61.49681727091471,38.90586280822754
2026-01-03T04:00:00Z London,100,2.2916666666666665,65.29833221435547,39.210832277933754,80,61.76298745473226,38.85502179463705
2026-01-03T05:00:00Z London,100,2.216666658719381,65.896666208903,39.13083267211914,80,62.03542137145996,38.958740234375
2026-01-03T06:00:00Z London,0,2.183333327372869,65.8083324432373,39.19583320617676,70,62.06047058105469,38.95467185974121
2026-01-03T07:00:00Z London,100,2.2916666666666665,65.56500053405762,39.2900005976359,90,61.78490734100342,38.87129211425781
2026-01-03T08:00:00Z London,100,2.299999992052714,66.13750012715657,39.30416615804037,90,61.90390078226725,38.82858403523763
2026-01-03T09:00:00Z London,0,2.466666658719381,65.54249954223633,39.08333365122477,120,62.267144521077476,38.840786616007485
2026-01-03T10:00:00Z London,100,2.2500000099341073,65.85750071207683,39.19333299001058,110,61.875719706217446,38.89366181691488
2026-01-03T11:00:00Z London,100,2.1166666448116302,65.33333333333333,39.19166628519694,80,61.478029568990074,38.83061854044596
2026-01-03T12:00:00Z London,0,2.2166666289170585,65.5649979909261,39.540000915527344,90,61.44984531402588,38.287618001302086
2026-01-03T13:00:00Z London,100,1.8500000139077504,65.29916636149089,39.40333366394043,70,61.690965016682945,38.93026987711588
2026-01-03T14:00:00Z London,0,2.033333341280619,64.9250005086263,39.39750067392985,80,61.512474060058594,38.57843780517578
2026-01-03T15:00:00Z London,100,1.8999999860922496,64.6633342107137,39.134166399637856,70,61.214988708496094,38.60894266764323
2026-01-03T16:00:00Z London,100,2.0499999821186066,64.8433329264323,39.402499516805015,70,61.52186902364095,38.80011240641276
2026-01-03T17:00:00Z London,0,1.924999992052714,65.56166712443034,39.41666634877523,80,61.71914927164713,38.560133934020996
2026-01-03T18:00:00Z London,100,1.9833333194255829,65.39833323160808,39.30416679382324,80,61.5938917795817,38.00086243947347
2026-01-03T19:00:00Z London,0,2.1166666448116302,65.48666508992513,39.387499491373696,80,61.80682786305746,38.7980759938558
2026-01-03T20:00:00Z London,100,1.9916666845480602,65.84666633605957,39.53166675567627,80,61.653388341267906,39.01568476359049
2026-01-03T21:00:00Z London,0,2.041666656732559,65.75666491190593,39.56666692097982,80,62.104312896728516,39.084832191467285
2026-01-03T22:00:00Z London,100,2.1333333055178323,66.02750142415364,39.49999968210856,80,61.4842898050944,39.06856155395508
2026-01-03T23:00:00Z London,100,2.0083333253860474,65.0033327738444,39.19916693369547,90,62.091787338256836,39.03805605570475
2026-01-04T00:00:00Z London,0,2.091666668653488,65.59166781107585,39.32500012715658,90,62.22643788655599,38.9912805557251
2026-01-04T01:00:00Z London,100,2.1250000298023224,65.71666812896729,39.42166709899902,90,62.060471852620445,39.0034818649292
2026-01-04T02:00:00Z London,0,1.949999988079071,65.9283332824707,39.649999936421715,70,61.92582162221273,39.090932846069336
2026-01-04T03:00:00Z London,100,2.0583333373069763,66.24833424886067,39.385833740234375,90,61.835009256998696,39.12550481160482
2026-01-04T04:00:00Z London,100,1.9749999543031056,66.290833791097,39.45500055948893,70,62.28280448913574,39.08483123779297
2026-01-04T05:00:00Z London,0,2.0083333253860474,66.13750012715657,39.56083329518636,70,62.26714579264323,39.14991124471029
2026-01-04T06:00:00Z London,100,2.183333307504654,65.58499972025554,39.419999758402504,90,62.611602783203125,39.233290672302246
2026-01-04T07:00:00Z London,0,1.8333333333333333,66.47499974568684,39.5633331934611,70,62.73059527079264,39.147877057393394
2026-01-04T08:00:00Z London,100,2.041666656732559,65.71666717529297,39.74333254496256,80,62.66170406341553,39.21498775482178
2026-01-04T09:00:00Z London,100,2.1166666547457376,66.25249989827473,39.4291664759318,80,62.53957970937093,39.1844809850057
2026-01-04T10:00:00Z London,0,1.850000003973643,66.03583399454753,39.43749968210856,70,62.31098556518555,39.166177113850914
2026-01-04T11:00:00Z London,100,1.824999988079071,65.63166681925456,39.48249912261963,80,62.18885898590088,39.176347732543945
2026-01-04T12:00:00Z London,0,1.975000003973643,65.84999974568684,39.75249989827474,70,61.70348993937174,38.4787851969401
2026-01-04T13:00:00Z London,100,1.7916666467984517,65.05500030517578,39.857500076293945,90,61.41853141784668,39.029919942220054
2026-01-04T14:00:00Z London,0,1.824999988079071,65.29000027974446,39.62333393096924,70,61.35590362548828,38.58047008514404
2026-01-04T15:00:00Z London,100,1.9333333174387615,64.96499888102214,39.58083279927572,80,60.98326396942139,39.11126867930094
2026-01-04T16:00:00Z London,0,1.6666666567325592,65.46666717529297,39.59416707356771,80,61.24317200978597,38.7085927327474
2026-01-04T17:00:00Z London,100,1.774999996026357,64.87749989827473,39.649166425069176,70,61.221253077189125,38.702493031819664
2026-01-04T18:00:00Z London,0,1.9916666746139526,65.60416730244954,39.452500661214195,80,61.390347480773926,39.121437072753906
2026-01-04T19:00:00Z London,100,1.8083333174387615,65.47416496276855,39.656666119893394,60,61.24943447113037,38.462514877319336
2026-01-04T20:00:00Z London,0,1.7833333313465118,65.15999984741211,39.49916617075602,60,61.70662307739258,38.90179634094238
2026-01-04T21:00:00Z London,100,1.6416666557391484,65.12083307902019,39.58166631062826,70,61.21185715993246,39.19871966044108
2026-01-04T22:00:00Z London,0,1.8500000139077504,65.771666208903,39.750832875569664,70,61.803695360819496,38.84281953175863
