Timestamp,CIB CT Circuit Heat Meter Energy,CIB CT Circuit Heat Meter Flow,CIB CT Circuit Heat Meter Inlet Temp,CIB CT Circuit Heat Meter Outlet Temp,CIB CT Circuit Heat Meter Power
2025-09-22T00:00:00+01:00 London,300,130.8000005086263,61.22916762034098,59.53250026702881,250
2025-09-22T01:00:00+01:00 London,200,128.20000139872232,60.95500087738037,59.21916643778483,260
2025-09-22T02:00:00+01:00 London,300,128.1333351135254,60.77583249409994,58.97499942779541,270
2025-09-22T03:00:00+01:00 London,300,128.05833307902017,60.75750001271566,58.96583334604899,270
2025-09-22T04:00:00+01:00 London,200,127.30833117167155,60.78083356221517,58.92500019073486,280
2025-09-22T05:00:00+01:00 London,300,128.70833269755045,60.934166272481285,59.15249983469645,290
2025-09-22T06:00:00+01:00 London,200,126.69166628519694,60.89083321889242,59.05250072479248,270
2025-09-22T07:00:00+01:00 London,400,129.96666971842447,60.17833296457926,58.12833213806152,360
2025-09-22T08:00:00+01:00 London,300,128.47500038146973,59.90666675567627,57.70999972025553,320
2025-09-22T09:00:00+01:00 London,300,128.59166526794434,60.26166693369547,58.2508331934611,300
2025-09-22T10:00:00+01:00 London,200,127.80000114440918,59.110000928243004,57.589166005452476,290
2025-09-22T11:00:00+01:00 London,200,125.60833358764648,58.64416662851969,57.409165700276695,200
2025-09-22T12:00:00+01:00 London,100,124.65833409627278,56.985833168029785,56.23333263397217,180
2025-09-22T13:00:00+01:00 London,100,82.16666628420353,54.372499783833824,53.6141668955485,190
2025-09-22T14:00:00+01:00 London,0,0.21666666803260645,50.57833290100098,51.538333574930824,0
2025-09-22T15:00:00+01:00 London,0,0.016666666915019352,46.77583312988281,44.96583366394043,0
2025-09-22T16:00:00+01:00 London,0,0,44.690000216166176,40.290833155314125,0
2025-09-22T17:00:00+01:00 London,0,0,41.678333600362144,38.048332850138344,0
2025-09-22T18:00:00+01:00 London,0,0,36.509166399637856,32.21416680018107,0
2025-09-22T19:00:00+01:00 London,0,0,32.92166646321615,28.084166526794434,0
2025-09-22T20:00:00+01:00 London,100,9.216666539510092,31.418333053588867,25.382500012715656,430
2025-09-22T21:00:00+01:00 London,400,122.20000012715657,52.1850004196167,48.116666634877525,1090
2025-09-22T22:00:00+01:00 London,200,128.50000127156576,55.733333587646484,53.963333447774254,240
2025-09-22T23:00:00+01:00 London,200,127.63333320617676,54.34416643778483,52.75833384195963,270
2025-09-23T00:00:00+01:00 London,300,128.0500005086263,55.39000002543131,53.4775005976359,320
2025-09-23T01:00:00+01:00 London,200,129.1916675567627,55.677499771118164,54.00416660308838,420
2025-09-23T02:00:00+01:00 London,300,128.51666768391928,55.734999656677246,54.22333304087321,350
2025-09-23T03:00:00+01:00 London,200,128.75833320617676,56.23083337148031,54.1850004196167,380
2025-09-23T04:00:00+01:00 London,300,129.69999885559082,55.78750069936117,54.153333028157554,330
2025-09-23T05:00:00+01:00 London,300,129.38333320617676,56.322500228881836,54.32916673024496,360
2025-09-23T06:00:00+01:00 London,300,129.93333307902017,56.51749960581461,54.389166514078774,370
2025-09-23T07:00:00+01:00 London,300,130.65833282470703,56.43583329518636,53.937499364217125,390
2025-09-23T08:00:00+01:00 London,300,131.125,54.69999980926514,52.68999926249186,330
2025-09-23T09:00:00+01:00 London,300,130.30833435058594,53.16249974568685,51.38500054677328,410
2025-09-23T10:00:00+01:00 London,300,144.45833460489908,54.30500062306722,52.56416734059652,710
2025-09-23T11:00:00+01:00 London,200,147.375,55.32166703542074,54.0091667175293,360
2025-09-23T12:00:00+01:00 London,200,133.02500228894255,54.752500216166176,53.84000015258789,230
2025-09-23T13:00:00+01:00 London,0,0,51.097500801086426,50.63000011444092,0
2025-09-23T14:00:00+01:00 London,0,0.050000000124176346,47.79750061035156,43.602500915527344,0
2025-09-23T15:00:00+01:00 London,0,0,43.75083351135254,41.29000027974447,0
2025-09-23T16:00:00+01:00 London,0,0,37.08250045776367,34.29416720072428,0
2025-09-23T17:00:00+01:00 London,0,0,33.72000026702881,29.492499828338623,0
2025-09-23T18:00:00+01:00 London,0,0,31.389999389648438,25.332499980926514,0
