Timestamp,CIB Heating CT Circuit Flow Temp,CIB Heating CT Circuit LTHW CT Low Temp Alarm,CIB Heating CT Circuit Pumps CT-01 Enable,CIB Heating CT Circuit Pumps CT-01 Fault,CIB Heating CT Circuit Pumps CT-02 Enable,CIB Heating CT Circuit Pumps CT-02 Fault,CIB Heating CT Circuit Pumps DPS,CIB Heating CT Circuit Return Temp,CIB Heating CT Circuit Time Schedule
2025-09-22T00:00:00+01:00 London,60.688910802205406,AAAA,AAAA,AAAA,AAAB,AAAA,AAAB,59.37597211201986,AAABAFAAAmAB
2025-09-22T01:00:00+01:00 London,60.46031856536865,AAAA,AAAA,AAAA,AAAB,AAAA,AAAB,59.14835453033447,AAAB
2025-09-22T02:00:00+01:00 London,60.29121939341227,AAAA,AAAA,AAAA,AAAB,AAAA,AAAB,58.98723157246908,AAAB
2025-09-22T03:00:00+01:00 London,60.12212340037028,AAAA,AAAA,AAAA,AAAB,AAAA,AAAB,58.87981605529785,AAAB
2025-09-22T04:00:00+01:00 London,60.28495693206787,AAAA,AAAA,AAAA,AAAB,AAAA,AAAB,59.00257555643717,AAAB
2025-09-22T05:00:00+01:00 London,60.39455795288086,AAAA,AAAA,AAAA,AAAB,AAAA,AAAB,59.06395721435547,AAAB
2025-09-22T06:00:00+01:00 London,60.2724339167277,AAAA,AAAA,AAAA,AAAB,AAAA,AAAB,59.00769170125326,AAAB
2025-09-22T07:00:00+01:00 London,60.075555165608726,AAAAAmAB,AAAA,AAAA,AAAB,AAAA,AAAB,58.67010307312012,AAAB
2025-09-22T08:00:00+01:00 London,59.347838401794434,AAAB,AAAA,AAAA,AAAB,AAAA,AAAB,57.76730728149414,AAAB
2025-09-22T09:00:00+01:00 London,59.63427766164144,AAAB,AAAA,AAAA,AAAB,AAAA,AAAB,58.08699321746826,AAAB
2025-09-22T10:00:00+01:00 London,58.41435305277506,AAAB,AAAAANAB,AAAA,AAABANAA,AAAA,AAAB,57.14583778381348,AAAB
2025-09-22T11:00:00+01:00 London,58.32995796203613,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,56.90543142954508,AAAB
2025-09-22T12:00:00+01:00 London,57.63687515258789,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,56.363243103027344,AAAB
2025-09-22T13:00:00+01:00 London,54.46046829223633,AAABA5AA,AAABA5AA,AAAA,AAAA,AAAA,AAABA5AA,53.15614700317383,AAABA5AA
2025-09-22T14:00:00+01:00 London,49.77480824788412,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,51.276390075683594,AAAA
2025-09-22T15:00:00+01:00 London,46.33770561218262,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,49.261444091796875,AAAA
2025-09-22T16:00:00+01:00 London,44.43154525756836,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,37.89737351735433,AAAA
2025-09-22T17:00:00+01:00 London,41.834821701049805,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,36.43083953857422,AAAA
2025-09-22T18:00:00+01:00 London,37.067389170328774,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,33.52873229980469,AAAA
2025-09-22T19:00:00+01:00 London,32.70304584503174,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,30.23842430114746,AAAA
2025-09-22T20:00:00+01:00 London,31.442145506540935,AAAAA7AB,AAAAA1AB,AAAA,AAAA,AAAA,AAAAA1AB,27.783846219380695,AAAAA2AB
2025-09-22T21:00:00+01:00 London,45.53936576843262,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,42.502647399902344,AAAB
2025-09-22T22:00:00+01:00 London,55.47323735555013,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,54.22517967224121,AAAB
2025-09-22T23:00:00+01:00 London,54.23796844482422,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,53.39143721262614,AAAB
2025-09-23T00:00:00+01:00 London,54.9821974436442,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,53.509081522623696,AAAB
2025-09-23T01:00:00+01:00 London,55.41185665130615,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,54.29167366027832,AAAB
2025-09-23T02:00:00+01:00 London,55.46300760904948,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,54.51673380533854,AAAB
2025-09-23T03:00:00+01:00 London,55.43743006388346,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,54.35561275482178,AAAB
2025-09-23T04:00:00+01:00 London,55.40418497721354,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,54.79294236501058,AAAB
2025-09-23T05:00:00+01:00 London,55.780134201049805,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,54.6752986907959,AAAB
2025-09-23T06:00:00+01:00 London,55.43998908996582,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,54.95917956034342,AAAB
2025-09-23T07:00:00+01:00 London,55.64970461527506,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,54.81084728240967,AAAB
2025-09-23T08:00:00+01:00 London,54.58834648132324,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,53.217528661092125,AAAB
2025-09-23T09:00:00+01:00 London,53.222643534342446,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,52.130593617757164,AAAB
2025-09-23T10:00:00+01:00 London,52.41703446706136,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,51.20222600301107,AAAB
2025-09-23T11:00:00+01:00 London,55.28909556070963,AAAB,AAAB,AAAA,AAAA,AAAA,AAAB,54.23796812693278,AAAB
2025-09-23T12:00:00+01:00 London,55.15099334716797,AAABA2AA,AAABA2AA,AAAA,AAAA,AAAA,AAABA2AA,53.64718818664551,AAABA2AA
2025-09-23T13:00:00+01:00 London,51.11526966094971,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,49.938842137654625,AAAA
2025-09-23T14:00:00+01:00 London,48.24859937032064,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,40.20921961466471,AAAA
2025-09-23T15:00:00+01:00 London,44.16931025187174,AAAA,AAAA,AAAA,AAAA,AAAA,AAAA,37.95277086893717,AAAA
