Timestamp,CIB Heating CT Circuit Flow Temp,CIB Heating CT Circuit LTHW CT Low Temp Alarm,CIB Heating CT Circuit Pumps CT-01 Enable,CIB Heating CT Circuit Pumps CT-01 Fault,CIB Heating CT Circuit Pumps CT-02 Enable,CIB Heating CT Circuit Pumps CT-02 Fault,CIB Heating CT Circuit Pumps DPS,CIB Heating CT Circuit Return Temp,CIB Heating CT Circuit Time Schedule
2025-12-13T00:00:00Z London,55.85174528757731,AAAB,AAAA,AAAA,AAAB,AAAA,AAAB,54.662510553995766,AAAB
2025-12-13T01:00:00Z London,55.994964281717934,AAAB,AAAA,AAAA,AAAB,AAAA,AAAB,54.78527005513509,AAAB
2025-12-13T02:00:00Z London,56.189333279927574,AAAB,AAAA,AAAA,AAAB,AAAA,AAAB,54.948951403299965,AAAB
2025-12-13T03:00:00Z London,56.736636797587074,AAAB,AAAA,AAAA,AAAB,AAAA,AAAB,55.54484494527181,AAAB
2025-12-13T04:00:00Z London,57.08445612589518,AAAB,AAAA,AAAA,AAAB,AAAA,AAAB,55.88243579864502,AAAB
2025-12-13T05:00:00Z London,57.4476203918457,AAAB,AAAA,AAAA,AAAB,AAAA,AAAB,56.20467948913574,AAAB
2025-12-13T06:00:00Z London,57.59084129333496,AAAB,AAAA,AAAA,AAAB,AAAA,AAAB,56.34789848327637,AAAB
2025-12-13T07:00:00Z London,57.31718889872233,AAAB,AAAA,AAAA,AAAB,AAAA,AAAB,55.90800921122233,AAAB
2025-12-13T08:00:00Z London,56.800576527913414,AAAB,AAAA,AAAA,AAAB,AAAA,AAAB,55.309557596842446,AAAB
2025-12-13T09:00:00Z London,56.7008310953776,AAAB,AAAA,AAAA,AAAB,AAAA,AAAB,55.191914876302086,AAAB
2025-12-13T10:00:00Z London,56.11260986328125,AAAB,AAAA,AAAA,AAAB,AAAA,AAAB,54.672739028930664,AAAB
2025-12-13T11:00:00Z London,55.45533434549967,AAAB,AAAA,AAAA,AAAB,AAAA,AAAB,54.028252601623535,AAAB
2025-12-13T12:00:00Z London,54.71621831258138,AAAB,AAAA,AAAA,AAAB,AAAA,AAAB,53.33517328898112,AAAB
2025-12-13T13:00:00Z London,54.44512367248535,AAAB,AAAA,AAAA,AAAB,AAAA,AAAB,53.01804161071777,AAAB
2025-12-13T14:00:00Z London,54.01546414693197,AAAB,AAAA,AAAA,AAAB,AAAA,AAAB,52.596056620279946,AAAB
2025-12-13T15:00:00Z London,54.061501820882164,AAAB,AAAA,AAAA,AAAB,AAAA,AAAB,52.66255124409994,AAAB
2025-12-13T16:00:00Z London,54.30701986948649,AAAB,AAAA,AAAA,AAAB,AAAA,AAAB,52.88505299886068,AAAB
2025-12-13T17:00:00Z London,55.125417709350586,AAAB,AAAA,AAAA,AAAB,AAAA,AAAB,53.5934788386027,AAAB
2025-12-13T18:00:00Z London,56.163760821024574,AAAB,AAAA,AAAA,AAAB,AAAA,AAAB,54.68297004699707,AAAB
2025-12-13T19:00:00Z London,56.57807413736979,AAAB,AAAA,AAAA,AAAB,AAAA,AAAB,55.07938130696615,AAAB
2025-12-13T20:00:00Z London,56.869627952575684,AAAB,AAAA,AAAA,AAAB,AAAA,AAAB,55.36582374572754,AAAB
2025-12-13T21:00:00Z London,57.07422637939453,AAAB,AAAA,AAAA,AAAB,AAAA,AAAB,55.61645634969076,AAAB
2025-12-13T22:00:00Z London,57.30695819854736,AAAB,AAAA,AAAA,AAAB,AAAA,AAAB,56.038442293802895,AAAB
2025-12-13T23:00:00Z London,57.383681297302246,AAAB,AAAA,AAAA,AAAB,AAAA,AAAB,56.1253973642985,AAAB
2025-12-14T00:00:00Z London,57.37089443206787,AAAB,AAAA,AAAA,AAAB,AAAA,AAAB,56.0947068532308,AAAB
2025-12-14T01:00:00Z London,57.50388526916504,AAAB,AAAA,AAAA,AAAB,AAAA,AAAB,56.209794998168945,AAAB
2025-12-14T02:00:00Z London,57.64710489908854,AAAB,AAAA,AAAA,AAAB,AAAA,AAAB,56.33255259195963,AAAB
2025-12-14T03:00:00Z London,57.65989112854004,AAAB,AAAA,AAAA,AAAB,AAAA,AAAB,56.37091636657715,AAAB
2025-12-14T04:00:00Z London,57.72894414265951,AAAB,AAAA,AAAA,AAAB,AAAA,AAAB,56.42973836263021,AAAB
2025-12-14T05:00:00Z London,57.71615727742513,AAAB,AAAA,AAAA,AAAB,AAAA,AAAB,56.42206700642904,AAAB
2025-12-14T06:00:00Z London,57.78009478251139,AAAB,AAAA,AAAA,AAAB,AAAA,AAAB,56.49367459615072,AAAB
2025-12-14T07:00:00Z London,57.76986503601074,AAAB,AAAA,AAAA,AAAB,AAAA,AAAB,56.31976636250814,AAAB
2025-12-14T08:00:00Z London,57.49876912434896,AAAB,AAAA,AAAA,AAAB,AAAA,AAAB,55.982178688049316,AAAB
2025-12-14T09:00:00Z London,57.11003049214681,AAAB,AAAA,AAAA,AAAB,AAAA,AAAB,55.626686096191406,AAAB
2025-12-14T10:00:00Z London,56.555057525634766,AAAB,AAAA,AAAA,AAAB,AAAA,AAAB,55.08193874359131,AAAB
2025-12-14T11:00:00Z London,55.55507723490397,AAAB,AAAA,AAAA,AAAB,AAAA,AAAB,54.09219106038412,AAAB
2025-12-14T12:00:00Z London,55.0947265625,AAAB,AAAA,AAAA,AAAB,AAAA,AAAB,53.64718691507975,AAAB
2025-12-14T13:00:00Z London,54.93871879577637,AAAB,AAAA,AAAA,AAAB,AAAA,AAAB,53.52698485056559,AAAB
2025-12-14T14:00:00Z London,55.138203938802086,AAAB,AAAA,AAAA,AAAB,AAAA,AAAB,53.65485858917236,AAAB
2025-12-14T15:00:00Z London,55.34024556477865,AAAB,AAAA,AAAA,AAAB,AAAA,AAAB,53.900376637776695,AAAB
2025-12-14T16:00:00Z London,55.7034117380778,AAAB,AAAA,AAAA,AAAB,AAAA,AAAB,54.21495056152344,AAAB
