Timestamp,Central House Luft WS10 OAT
2026-01-01T00:00:00Z London,-1.6916666527589161
2026-01-01T01:00:00Z London,-1.0916666686534882
2026-01-01T02:00:00Z London,-0.7000000029802322
2026-01-01T03:00:00Z London,-0.6833333422740301
2026-01-01T04:00:00Z London,-0.32500000670552254
2026-01-01T05:00:00Z London,-0.2083333364377419
2026-01-01T06:00:00Z London,-0.058333334202567734
2026-01-01T07:00:00Z London,-0.5750000104308128
2026-01-01T08:00:00Z London,-0.6250000024835268
2026-01-01T09:00:00Z London,-0.43333333854873973
2026-01-01T10:00:00Z London,-0.05000000074505806
2026-01-01T11:00:00Z London,0.9083333338300387
2026-01-01T12:00:00Z London,1.9250000019868214
2026-01-01T13:00:00Z London,2.5666666428248086
2026-01-01T14:00:00Z London,2.2916666865348816
2026-01-01T15:00:00Z London,2.875
2026-01-01T16:00:00Z London,3.066666622956594
2026-01-01T17:00:00Z London,3.0916666984558105
2026-01-01T18:00:00Z London,3.158333341280619
2026-01-01T19:00:00Z London,2.2083333134651184
2026-01-01T20:00:00Z London,1.5333333412806194
2026-01-01T21:00:00Z London,1.3083333373069763
2026-01-01T22:00:00Z London,1.2166666785875957
2026-01-01T23:00:00Z London,0.8666666646798452
2026-01-02T00:00:00Z London,0.950000007947286
2026-01-02T01:00:00Z London,0.6083333368102709
2026-01-02T02:00:00Z London,0.45000000298023224
2026-01-02T03:00:00Z London,0.7416666770974795
2026-01-02T04:00:00Z London,0.5333333406597376
2026-01-02T05:00:00Z London,-0.4083333338300387
2026-01-02T06:00:00Z London,-0.3666666733721892
2026-01-02T07:00:00Z London,-0.5500000144044558
2026-01-02T08:00:00Z London,-0.8333333333333334
2026-01-02T09:00:00Z London,-0.9666666636864344
2026-01-02T10:00:00Z London,-0.516666671882073
2026-01-02T11:00:00Z London,0.30833333420256775
2026-01-02T12:00:00Z London,0.8916666681567827
2026-01-02T13:00:00Z London,1.2250000089406967
2026-01-02T14:00:00Z London,0.9833333442608515
2026-01-02T15:00:00Z London,0.5166666693985462
2026-01-02T16:00:00Z London,0.10000000335276127
2026-01-02T17:00:00Z London,-0.38333334028720856
2026-01-02T18:00:00Z London,-0.6083333368102709
2026-01-02T19:00:00Z London,-0.8916666656732559
2026-01-02T20:00:00Z London,-1.150000015894572
2026-01-02T21:00:00Z London,-1.3666666547457378
2026-01-02T22:00:00Z London,-1.325000007947286
2026-01-02T23:00:00Z London,-1.3833333154519398
2026-01-03T00:00:00Z London,-1.4416666825612385
2026-01-03T01:00:00Z London,-1.5833333333333333
2026-01-03T02:00:00Z London,-2.2416666746139526
2026-01-03T03:00:00Z London,-1.7416666746139526
2026-01-03T04:00:00Z London,-1.6666667064030964
2026-01-03T05:00:00Z London,-1.7666666805744171
2026-01-03T06:00:00Z London,-2.1499999860922494
2026-01-03T07:00:00Z London,-2.1999999781449637
2026-01-03T08:00:00Z London,-2.6833333373069763
2026-01-03T09:00:00Z London,-2.566666622956594
2026-01-03T10:00:00Z London,-1.7666666607062023
2026-01-03T11:00:00Z London,-0.8750000074505806
2026-01-03T12:00:00Z London,0.4833333312223355
2026-01-03T13:00:00Z London,1.2083333482344945
2026-01-03T14:00:00Z London,1.1166666845480602
2026-01-03T15:00:00Z London,0.8166666602094969
2026-01-03T16:00:00Z London,0.2583333371828
2026-01-03T17:00:00Z London,-0.5833333389212688
2026-01-03T18:00:00Z London,-1.0250000059604645
2026-01-03T19:00:00Z London,-1.7083333035310109
2026-01-03T20:00:00Z London,-2.091666648785273
2026-01-03T21:00:00Z London,-2.1833333571751914
2026-01-03T22:00:00Z London,-2.4083333015441895
2026-01-03T23:00:00Z London,-3.10833332935969
2026-01-04T00:00:00Z London,-3.3916666905085244
2026-01-04T01:00:00Z London,-3.3166666626930237
2026-01-04T02:00:00Z London,-3.3583333492279053
2026-01-04T03:00:00Z London,-3.7583333055178323
2026-01-04T04:00:00Z London,-4.141666571299235
2026-01-04T05:00:00Z London,-4.208333174387614
2026-01-04T06:00:00Z London,-4.199999849001567
2026-01-04T07:00:00Z London,-4.2166666984558105
2026-01-04T08:00:00Z London,-4.291666626930237
2026-01-04T09:00:00Z London,-4.125000019868215
2026-01-04T10:00:00Z London,-3.300000011920929
2026-01-04T11:00:00Z London,-1.4666666736205418
2026-01-04T12:00:00Z London,-0.24166667150954405
2026-01-04T13:00:00Z London,0.4916666715095441
2026-01-04T14:00:00Z London,0.5416666766007742
2026-01-04T15:00:00Z London,0.46666667113701504
2026-01-04T16:00:00Z London,0.633333332836628
2026-01-04T17:00:00Z London,0.6666666766007742
2026-01-04T18:00:00Z London,0.4916666770974795
2026-01-04T19:00:00Z London,0.23333333867291609
2026-01-04T20:00:00Z London,-0.19166667076448599
2026-01-04T21:00:00Z London,-0.4999999975164731
2026-01-04T22:00:00Z London,-0.850000003973643
2026-01-04T23:00:00Z London,-1.166666676600774
2026-01-05T00:00:00Z London,-1.5916666686534882
2026-01-05T01:00:00Z London,-1.8666666348775227
2026-01-05T02:00:00Z London,-2.349999964237213
2026-01-05T03:00:00Z London,-2.3166666428248086
2026-01-05T04:00:00Z London,-2.158333341280619
2026-01-05T05:00:00Z London,-2.3083333373069763
2026-01-05T06:00:00Z London,-1.9749999642372131
2026-01-05T07:00:00Z London,-2.391666660706202
2026-01-05T08:00:00Z London,-3.200000007947286
2026-01-05T09:00:00Z London,-3.5666667024294534
2026-01-05T10:00:00Z London,-3.1333333253860474
2026-01-05T11:00:00Z London,-2.1666666865348816
2026-01-05T12:00:00Z London,-0.4916666702677806
2026-01-05T13:00:00Z London,-0.11666666964689891
2026-01-05T14:00:00Z London,0.3499999977648258
2026-01-05T15:00:00Z London,0.433333333581686
2026-01-05T16:00:00Z London,-0.43333333792785805
2026-01-05T17:00:00Z London,-1.4999999900658925
2026-01-05T18:00:00Z London,-2.2416666547457376
2026-01-05T19:00:00Z London,-2.3166666527589164
2026-01-05T20:00:00Z London,-2.4583333233992257
2026-01-05T21:00:00Z London,-2.6833333571751914
2026-01-05T22:00:00Z London,-2.991666634877523
2026-01-05T23:00:00Z London,-3.200000007947286
2026-01-06T00:00:00Z London,-3.883333384990692
2026-01-06T01:00:00Z London,-3.925000011920929
2026-01-06T02:00:00Z London,-4.01666663090388
2026-01-06T03:00:00Z London,-4.016666650772095
2026-01-06T04:00:00Z London,-4.625000079472859
2026-01-06T05:00:00Z London,-4.558333317438762
2026-01-06T06:00:00Z London,-4.37500003973643
2026-01-06T07:00:00Z London,-4.241666674613953
2026-01-06T08:00:00Z London,-4.316666603088379
2026-01-06T09:00:00Z London,-4.191666702429454
2026-01-06T10:00:00Z London,-3.6749999721844993
2026-01-06T11:00:00Z London,-2.2916666666666665
2026-01-06T12:00:00Z London,-1.9166666368643444
2026-01-06T13:00:00Z London,-1.333333323399226
2026-01-06T14:00:00Z London,-0.5666666701436043
2026-01-06T15:00:00Z London,-0.03333333569268385
2026-01-06T16:00:00Z London,0.8916666756073633
2026-01-06T17:00:00Z London,1.1250000198682149
2026-01-06T18:00:00Z London,1.4249999821186066
2026-01-06T19:00:00Z London,1.674999992052714
2026-01-06T20:00:00Z London,1.9666666388511658
2026-01-06T21:00:00Z London,1.9916666348775227
2026-01-06T22:00:00Z London,1.8666666348775227
2026-01-06T23:00:00Z London,2.0916666189829507
2026-01-07T00:00:00Z London,2.150000015894572
2026-01-07T01:00:00Z London,1.9916666249434154
2026-01-07T02:00:00Z London,2.400000015894572
2026-01-07T03:00:00Z London,2.4833333690961203
2026-01-07T04:00:00Z London,2.024999956289927
2026-01-07T05:00:00Z London,1.5666666726271312
2026-01-07T06:00:00Z London,1.2083333333333333
2026-01-07T07:00:00Z London,0.8416666686534882
2026-01-07T08:00:00Z London,0.6166666795810064
2026-01-07T09:00:00Z London,0.8250000029802322
2026-01-07T10:00:00Z London,1.3416666785875957
2026-01-07T11:00:00Z London,2.3666666746139526
2026-01-07T12:00:00Z London,3.125
2026-01-07T13:00:00Z London,3.1666666865348816
2026-01-07T14:00:00Z London,3.0666666825612388
2026-01-07T15:00:00Z London,3.1833333571751914
2026-01-07T16:00:00Z London,2.9666666388511658
2026-01-07T17:00:00Z London,2.950000047683716
2026-01-07T18:00:00Z London,2.783333341280619
2026-01-07T19:00:00Z London,2.041666636864344
2026-01-07T20:00:00Z London,1.6833333373069763
2026-01-07T21:00:00Z London,1.6333333452542622
2026-01-07T22:00:00Z London,1.7333333293596904
2026-01-07T23:00:00Z London,2.0499999821186066
2026-01-08T00:00:00Z London,1.8333333333333333
2026-01-08T01:00:00Z London,2.2749999860922494
2026-01-08T02:00:00Z London,2.5833333134651184
2026-01-08T03:00:00Z London,2.23333332935969
2026-01-08T04:00:00Z London,2.3916666408379874
2026-01-08T05:00:00Z London,2.774999976158142
2026-01-08T06:00:00Z London,2.625
2026-01-08T07:00:00Z London,2.224999984105428
2026-01-08T08:00:00Z London,2.2333333492279053
2026-01-08T09:00:00Z London,2.108333339293798
2026-01-08T10:00:00Z London,2.2999999721844993
2026-01-08T11:00:00Z London,2.208333283662796
2026-01-08T12:00:00Z London,3.4666666388511658
2026-01-08T13:00:00Z London,3.73333332935969
2026-01-08T14:00:00Z London,3.3166666626930237
2026-01-08T15:00:00Z London,2.6583333214124045
2026-01-08T16:00:00Z London,2.3916666507720947
2026-01-08T17:00:00Z London,1.7416666448116302
2026-01-08T18:00:00Z London,0.7333333343267441
2026-01-08T19:00:00Z London,1.0916666736205418
2026-01-08T20:00:00Z London,2.141666680574417
2026-01-08T21:00:00Z London,3.466666658719381
2026-01-08T22:00:00Z London,4.1083332896232605
2026-01-08T23:00:00Z London,4.650000015894572
2026-01-09T00:00:00Z London,4.458333373069763
2026-01-09T01:00:00Z London,4.300000150998433
2026-01-09T02:00:00Z London,4.1166666348775225
2026-01-09T03:00:00Z London,3.249999980131785
2026-01-09T04:00:00Z London,1.7666666607062023
2026-01-09T05:00:00Z London,0.5083333378036817
2026-01-09T06:00:00Z London,0.5583333422740301
2026-01-09T07:00:00Z London,0.7416666646798452
2026-01-09T08:00:00Z London,0.8916666507720947
2026-01-09T09:00:00Z London,1.1333333452542622
2026-01-09T10:00:00Z London,1.5166666507720947
