Timestamp,22 Gordon Street Weather Station OAT,"London, United Kingdom Temp",Student Centre Luft WS600 OAT(act)
2026-01-10T00:00:00Z London,2.819999933242798,4,2.5999999046325684
2026-01-10T01:00:00Z London,2.569999933242798,3.75,2.5999999046325684
2026-01-10T02:00:00Z London,2.319999933242798,2.75,2.558333237965902
2026-01-10T03:00:00Z London,2.319999933242798,2,2.0999999046325684
2026-01-10T04:00:00Z London,2.319999933242798,1.75,1.6416666805744171
2026-01-10T05:00:00Z London,2.319999933242798,1,1.600000023841858
2026-01-10T06:00:00Z London,2.010833283265432,0.75,1.600000023841858
2026-01-10T07:00:00Z London,1.7899999618530273,0,1.600000023841858
2026-01-10T08:00:00Z London,1.7899999618530273,0,1.600000023841858
2026-01-10T09:00:00Z London,1.9983332951863606,0,1.600000023841858
2026-01-10T10:00:00Z London,2.498333295186361,0,1.600000023841858
2026-01-10T11:00:00Z London,2.7899999618530273,0.25,1.6416666805744171
2026-01-10T12:00:00Z London,3.275833268960317,1.25,2.0999999046325684
2026-01-10T13:00:00Z London,4.056666672229767,2.25,2.558333237965902
2026-01-10T14:00:00Z London,4.316666781902313,3,2.808333237965902
2026-01-10T15:00:00Z London,3.8399999141693115,3,3.0999999046325684
2026-01-10T16:00:00Z London,3.8399999141693115,3,3.0999999046325684
2026-01-10T17:00:00Z London,3.8399999141693115,2.5,3.141666571299235
2026-01-10T18:00:00Z London,3.5799999237060547,1,3.516666571299235
2026-01-10T19:00:00Z London,2.7366665999094644,1,2.808333237965902
2026-01-10T20:00:00Z London,2.1433332761128745,0.5,2.516666571299235
2026-01-10T21:00:00Z London,1.6199999650319417,-1.25,2.01666659116745
2026-01-10T22:00:00Z London,1.237499972184499,-1.5,1.4333333571751912
2026-01-10T23:00:00Z London,0.4233333269755046,-0.25,-0.09999999403953552
2026-01-11T00:00:00Z London,0.4233333269755046,-1,0.3333333333333333
2026-01-11T01:00:00Z London,0.7699999809265137,-1.25,0.5
2026-01-11T02:00:00Z London,0.7699999809265137,-1.5,0.5
2026-01-11T03:00:00Z London,1.237499972184499,-0.5,0.75
2026-01-11T04:00:00Z London,1.2799999713897705,-2,1
2026-01-11T05:00:00Z London,1.4924999674161274,-2,1.25
2026-01-11T06:00:00Z London,2.4149999618530273,-1.5,2
2026-01-11T07:00:00Z London,3.010833283265432,0,2.7083333333333335
2026-01-11T08:00:00Z London,4.230000019073486,0,4
2026-01-11T09:00:00Z London,5.09250009059906,0.75,4.625
2026-01-11T10:00:00Z London,6.191666762034099,3,5.541666666666667
2026-01-11T11:00:00Z London,7.117499868075053,3.5,6.458333333333333
2026-01-11T12:00:00Z London,7.583333174387614,5.25,7.049999912579854
2026-01-11T13:00:00Z London,8.054999947547913,6.25,7.099999904632568
2026-01-11T14:00:00Z London,7.929999828338623,7,7.558333237965901
2026-01-11T15:00:00Z London,7.583333174387614,7,7.266666571299235
2026-01-11T16:00:00Z London,7.713333169619243,7,7.349999904632568
2026-01-11T17:00:00Z London,8.180000066757202,7,7.599999904632568
2026-01-11T18:00:00Z London,8.346666892369589,7,7.599999904632568
2026-01-11T19:00:00Z London,7.929999828338623,7,7.599999904632568
2026-01-11T20:00:00Z London,8.138333360354105,7.25,8.049999833106995
2026-01-11T21:00:00Z London,8.603333473205566,8,8.366666475931803
2026-01-11T22:00:00Z London,9.123333295186361,8.25,8.999999841054281
2026-01-11T23:00:00Z London,9.770833492279053,9,9.416666666666666
2026-01-12T00:00:00Z London,10.712500095367432,9,10.52500025431315
2026-01-12T01:00:00Z London,11.052500247955322,9.25,11.100000381469727
2026-01-12T02:00:00Z London,11.010000228881836,10,11.05833371480306
2026-01-12T03:00:00Z London,10.670000076293945,10,10.600000381469727
2026-01-12T04:00:00Z London,10.627500057220459,10,10.600000381469727
2026-01-12T05:00:00Z London,10.585000038146973,9.75,10.600000381469727
2026-01-12T06:00:00Z London,11.052500247955322,9,10.750000238418579
2026-01-12T07:00:00Z London,11.350000381469727,9,11.199999809265137
2026-01-12T08:00:00Z London,11.520000457763672,9,11.199999809265137
2026-01-12T09:00:00Z London,11.137500286102295,9.25,10.78333314259847
2026-01-12T10:00:00Z London,11.520000298817953,10,10.949999809265137
2026-01-12T11:00:00Z London,12.029999732971191,10.25,11.199999809265137
2026-01-12T12:00:00Z London,11.987499872843424,11,11.199999809265137
2026-01-12T13:00:00Z London,12.539999961853027,11,11.574999809265137
2026-01-12T14:00:00Z London,12.789999961853027,11.25,11.699999809265137
2026-01-12T15:00:00Z London,12.998333295186361,12,11.699999809265137
2026-01-12T16:00:00Z London,12.454999923706055,12,11.699999809265137
2026-01-12T17:00:00Z London,12.539999961853027,11.75,11.699999809265137
2026-01-12T18:00:00Z London,12.28499984741211,11,11.53333314259847
2026-01-12T19:00:00Z London,11.562500397364298,11,11.199999809265137
2026-01-12T20:00:00Z London,11.647500276565552,10.75,11.199999809265137
