Timestamp,CIB AHU-03 (Teaching) Filter DPS,CIB AHU-03 (Teaching) Heating Valve,CIB AHU-03 (Teaching) Off Coil Temp,CIB AHU-03 (Teaching) Supply Air Temp,CIB AHU-03 (Teaching) Supply Air Temp Setpoint,CIB AHU-03 (Teaching) Supply Fan 01 Enable,CIB AHU-03 (Teaching) Supply Fan 02 Enable,CIB AHU-03 (Teaching) Supply Fan DPS,CIB AHU-03 (Teaching) Time Schedule
2025-09-22T00:00:00+01:00 London,AAAA,74.56602096557617,22.704086939493816,17.76070276896159,18,AAAAAIAB,AAABAIAA,AAAB,AAAB
2025-09-22T01:00:00+01:00 London,AAAA,79.15871810913086,22.6163272857666,18.04818630218506,18,AAAB,AAAA,AAAB,AAAB
2025-09-22T02:00:00+01:00 London,AAAA,87.4600118001302,22.483669916788738,17.96059211095174,18,AAAB,AAAA,AAAB,AAAB
2025-09-22T03:00:00+01:00 London,AAAA,100,22.34896945953369,17.58102830251058,18,AAAB,AAAA,AAAB,AAAB
2025-09-22T04:00:00+01:00 London,AAAA,100,22.210192521413166,17.14307165145874,18,AAAB,AAAA,AAAB,AAAB
2025-09-22T05:00:00+01:00 London,AAAA,100,22.03467559814453,16.80842876434326,18,AAAB,AAAA,AAAB,AAAB
2025-09-22T06:00:00+01:00 London,AAAA,100,21.80609591801961,16.46255111694336,18,AAAB,AAAA,AAAB,AAAB
2025-09-22T07:00:00+01:00 London,AAAA,100,21.704054196675617,16.260416984558105,18,AAAB,AAAA,AAAB,AAAB
2025-09-22T08:00:00+01:00 London,AAAA,100,21.96732807159424,16.49174976348877,18,AAAB,AAAA,AAAB,AAAB
2025-09-22T09:00:00+01:00 London,AAAA,99.57520802815755,23.236754099527996,17.51140324274699,18,AAAB,AAAA,AAAB,AAAB
2025-09-22T10:00:00+01:00 London,AAAA,76.5368226369222,23.030627568562824,18.173956235249836,18,AAAB,AAAA,AAAB,AAAB
2025-09-22T11:00:00+01:00 London,AAAA,47.7870200475057,21.402002334594727,18.15823443730672,18,AAAB,AAAA,AAAB,AAAB
2025-09-22T12:00:00+01:00 London,AAAA,32.513296127319336,20.373044967651367,18.08860969543457,18,AAAB,AAAA,AAAB,AAAB
2025-09-22T13:00:00+01:00 London,AAAA,0,20.40731906890869,18.829769134521484,18,AAAB,AAAA,AAAB,AAAB
2025-09-22T14:00:00+01:00 London,AAAA,8.857740879058838,16.80633012453715,18.10658009847005,18,AAAB,AAAA,AAAB,AAAB
2025-09-22T15:00:00+01:00 London,AAAA,2.6105847358703613,16.04031499226888,18.001023292541504,18,AAAB,AAAA,AAAB,AAAB
2025-09-22T16:00:00+01:00 London,AAAA,15.172208600987991,16.080741723378498,17.84605360031128,18,AAAB,AAAA,AAAB,AAAB
2025-09-22T17:00:00+01:00 London,AAAA,90.05119895935059,15.932511806488037,17.360929489135742,18,AAAB,AAAA,AAAB,AAAB
2025-09-22T18:00:00+01:00 London,AAAA,100,16.5703543027242,17.001578330993652,18,AAAB,AAAA,AAAB,AAAB
2025-09-22T19:00:00+01:00 London,AAAA,100,15.344074249267578,16.28512159983317,18,AAAB,AAAA,AAAB,AAAB
2025-09-22T20:00:00+01:00 London,AAAA,100,14.501846234003702,15.465354919433594,18,AAAB,AAAA,AAAB,AAAB
2025-09-22T21:00:00+01:00 London,AAAA,71.30719947814941,16.916231155395508,17.185744285583496,18,AAAB,AAAA,AAAB,AAAB
2025-09-22T22:00:00+01:00 London,AAAA,46.452089627583824,16.9139879544576,17.938134988149006,18,AAAB,AAAA,AAAB,AAAB
2025-09-22T23:00:00+01:00 London,AAAA,50.86050955454508,16.943182309468586,17.962841669718426,18,AAAB,AAAA,AAAB,AAAB
2025-09-23T00:00:00+01:00 London,AAAA,54.61132494608561,16.767998695373535,17.95834954579671,18,AAAB,AAAA,AAAB,AAAB
2025-09-23T01:00:00+01:00 London,AAAA,55.61721134185791,17.39461660385132,18.00775909423828,18,AAAB,AAAA,AAAB,AAAB
2025-09-23T02:00:00+01:00 London,AAAA,57.69838523864746,17.396861394246418,17.99428145090739,18,AAAB,AAAA,AAAB,AAAB
2025-09-23T03:00:00+01:00 London,AAAA,60.398611068725586,17.363173643747967,18.036954085032146,18,AAAB,AAAA,AAAB,AAAB
2025-09-23T04:00:00+01:00 London,AAAA,61.30418046315511,17.33621899286906,18.043692270914715,18,AAAB,AAAA,AAAB,AAAB
2025-09-23T05:00:00+01:00 London,AAAA,62.23117637634277,17.374402046203613,18.007755279541016,18,AAAB,AAAA,AAAB,AAAB
2025-09-23T06:00:00+01:00 London,AAAA,62.163018226623535,17.185744921366375,18.041446208953857,18,AAAB,AAAA,AAAB,AAAB
2025-09-23T07:00:00+01:00 London,AAAA,61.32884534200033,17.324993133544922,18.030219078063965,18,AAAB,AAAA,AAAB,AAAB
2025-09-23T08:00:00+01:00 London,AAAA,59.98245112101237,17.392369270324707,18.016740798950195,18,AAAB,AAAA,AAAB,AAAB
2025-09-23T09:00:00+01:00 London,AAAA,55.46111742655436,17.271090825398762,18.030215899149578,18,AAAB,AAAA,AAAB,AAAB
2025-09-23T10:00:00+01:00 London,AAAA,48.2351344426473,17.223926703135174,18.06839895248413,18,AAAB,AAAA,AAAB,AAAB
2025-09-23T11:00:00+01:00 London,AAAA,39.724181175231934,17.49119170506795,17.998774846394856,18,AAAB,AAAA,AAAB,AAAB
2025-09-23T12:00:00+01:00 London,AAAA,16.27878189086914,18.856721878051758,18.721969604492188,18,AAAB,AAAA,AAAB,AAAB
2025-09-23T13:00:00+01:00 London,AAAA,8.023598988850912,16.72083346048991,18.407538255055744,18,AAAB,AAAA,AAAB,AAAB
2025-09-23T14:00:00+01:00 London,AAAA,54.77637545267741,16.067264556884766,17.78091796239217,18,AAAB,AAAA,AAAB,AAAB
2025-09-23T15:00:00+01:00 London,AAAA,77.77228291829427,16.750029881795246,17.79214922587077,18,AAAB,AAAA,AAAB,AAAB
2025-09-23T16:00:00+01:00 London,AAAA,99.10903930664062,16.918477535247803,17.731506029764812,18,AAAB,AAAA,AAAB,AAAB
2025-09-23T17:00:00+01:00 London,AAAA,100,16.419877688090008,17.565306345621746,18,AAAB,AAAA,AAAB,AAAB
2025-09-23T18:00:00+01:00 London,AAAA,100,16.134644826253254,17.32948176066081,18,AAAB,AAAA,AAAB,AAAB
2025-09-23T19:00:00+01:00 London,AAAA,100,15.357548395792643,16.77024253209432,18,AAAB,AAAA,AAAB,AAAB
2025-09-23T20:00:00+01:00 London,AAAA,100,14.894886493682861,16.40415859222412,18,AAAB,AAAA,AAAB,AAAB
2025-09-23T21:00:00+01:00 London,AAAA,100,14.005497932434082,15.67647123336792,18,AAAB,AAAA,AAAB,AAAB
2025-09-23T22:00:00+01:00 London,AAAA,100,14.43222459157308,15.714654604593912,18,AAAB,AAAA,AAAB,AAAB
2025-09-23T23:00:00+01:00 London,AAAA,50.9753163655599,16.57709487279256,17.904446919759113,18,AAAB,AAAA,AAAB,AAAB
2025-09-24T00:00:00+01:00 London,AAAA,47.6134672164917,16.938692410786945,17.962839762369793,18,AAAB,AAAA,AAAB,AAAB
2025-09-24T01:00:00+01:00 London,AAAA,48.65291118621826,17.03077268600464,18.014493465423584,18,AAAB,AAAA,AAAB,AAAB
2025-09-24T02:00:00+01:00 London,AAAA,50.501635233561196,17.383387565612793,17.989790598551433,18,AAAB,AAAA,AAAB,AAAB
2025-09-24T03:00:00+01:00 London,AAAA,51.741363843282066,17.30028708775838,17.989791870117188,18,AAAB,AAAA,AAAB,AAAB
2025-09-24T04:00:00+01:00 London,AAAA,49.06545352935791,17.302534421284992,18.027973016103108,18,AAAB,AAAA,AAAB,AAAB
2025-09-24T05:00:00+01:00 London,AAAA,50.96062469482422,17.158791542053223,17.96732997894287,18,AAAB,AAAA,AAAB,AAAB
2025-09-24T06:00:00+01:00 London,AAAA,53.258233388264976,17.17227045694987,18.02347771326701,18,AAAB,AAAA,AAAB,AAAB
2025-09-24T07:00:00+01:00 London,AAAA,55.02792167663574,17.120610396067303,17.94936466217041,18,AAAB,AAAA,AAAB,AAAB
2025-09-24T08:00:00+01:00 London,AAAA,53.48127873738607,17.190235137939453,18.021232922871906,18,AAAB,AAAA,AAAB,AAAB
2025-09-24T09:00:00+01:00 London,AAAA,47.96378517150879,17.212695121765137,18.027971744537354,18,AAAB,AAAA,AAAB,AAAB
2025-09-24T10:00:00+01:00 London,AAAA,39.64590263366699,17.53835916519165,18.023480892181396,18,AAAB,AAAA,AAAB,AAAB
2025-09-24T11:00:00+01:00 London,AAAA,30.294849236806233,17.91118558247884,18.135779062906902,18,AAAB,AAAA,AAAB,AAAB
2025-09-24T12:00:00+01:00 London,AAAA,0.49233371019363403,17.98080539703369,18.50635528564453,18,AAAB,AAAA,AAAB,AAAB
2025-09-24T13:00:00+01:00 London,AAAA,1.118190993865331,17.621458212534588,18.605177402496338,18,AAAB,AAAA,AAAB,AAAB
2025-09-24T14:00:00+01:00 London,AAAA,0,18.36935345331828,19.380026658376057,18,AAAB,AAAA,AAAB,AAAB
2025-09-24T15:00:00+01:00 London,AAAA,0,18.757901509602863,19.710180282592773,18,AAAB,AAAA,AAAB,AAAB
2025-09-24T16:00:00+01:00 London,AAAA,0,18.593946933746338,19.68547487258911,18,AAAB,AAAA,AAAB,AAAB
2025-09-24T17:00:00+01:00 London,AAAA,0,17.446272373199463,18.88592004776001,18,AAAB,AAAA,AAAB,AAAB
2025-09-24T18:00:00+01:00 London,AAAA,20.29847065607707,15.988657395044962,17.704555988311768,18,AAAB,AAAA,AAAB,AAAB
2025-09-24T19:00:00+01:00 London,AAAA,96.25244140625,14.933067480723063,16.750033855438232,18,AAAB,AAAA,AAAB,AAAB
2025-09-24T20:00:00+01:00 London,AAAA,100,13.965068340301514,15.959460735321045,18,AAAB,AAAA,AAAB,AAAB
2025-09-24T21:00:00+01:00 London,AAAA,100,13.385613441467285,15.353056907653809,18,AAAB,AAAA,AAAB,AAAB
2025-09-24T22:00:00+01:00 London,AAAA,100,14.42548688252767,15.813475290934244,18,AAAB,AAAA,AAAB,AAAB
2025-09-24T23:00:00+01:00 London,AAAA,53.86995760599772,17.073448816935223,17.83706569671631,18,AAAB,AAAA,AAAB,AAAB
2025-09-25T00:00:00+01:00 London,AAAA,44.9654270807902,17.053236802419026,17.956101576487224,18,AAAB,AAAA,AAAB,AAAB
2025-09-25T01:00:00+01:00 London,AAAA,46.17452843983968,16.949922402699787,18.005513668060303,18,AAAB,AAAA,AAAB,AAAB
2025-09-25T02:00:00+01:00 London,AAAA,49.40829531351725,17.006067276000977,17.95385487874349,18,AAAB,AAAA,AAAB,AAAB
2025-09-25T03:00:00+01:00 London,AAAA,52.14228661855062,16.99484046300252,17.96957604090373,18,AAAB,AAAA,AAAB,AAAB
2025-09-25T04:00:00+01:00 London,AAAA,56.875143686930336,16.49848771095276,17.511406421661377,18,AAAB,AAAA,AAAB,AAAB
